,k,pk
76,90.0,5.0707367780538514e-05
77,91.0,3.380491185369234e-05
78,92.0,8.451227963423086e-05
79,93.0,3.380491185369234e-05
80,94.0,6.760982370738469e-05
81,95.0,3.380491185369234e-05
82,96.0,1.690245592684617e-05
83,97.0,5.0707367780538514e-05
84,99.0,1.690245592684617e-05
85,100.0,3.380491185369234e-05
86,102.0,1.690245592684617e-05
87,103.0,1.690245592684617e-05
88,105.0,1.690245592684617e-05
89,109.0,8.451227963423086e-05
90,110.0,6.760982370738469e-05
91,111.0,3.380491185369234e-05
92,112.0,3.380491185369234e-05
93,113.0,3.380491185369234e-05
94,115.0,8.451227963423086e-05
95,118.0,1.690245592684617e-05
96,119.0,3.380491185369234e-05
97,120.0,1.690245592684617e-05
98,122.0,3.380491185369234e-05
99,123.0,1.690245592684617e-05
100,125.0,1.690245592684617e-05
101,126.0,1.690245592684617e-05
102,127.0,1.690245592684617e-05
103,128.0,1.690245592684617e-05
104,129.0,1.690245592684617e-05
105,131.0,1.690245592684617e-05
106,132.0,1.690245592684617e-05
107,138.0,1.690245592684617e-05
108,140.0,1.690245592684617e-05
109,141.0,1.690245592684617e-05
110,154.0,1.690245592684617e-05
0,0.0,0.8485308760737853
1,1.0,0.12105716166270063
2,2.0,0.021230992523585304
3,3.0,0.0036791386090155773
4,4.0,0.0005569338261353856
5,5.0,0.0001012606956609792
6,6.0,1.6876782610163197e-05
7,7.0,3.3753565220326394e-05
8,8.0,1.6876782610163197e-05
9,13.0,1.6876782610163197e-05
10,14.0,1.6876782610163197e-05
11,15.0,3.3753565220326394e-05
12,17.0,3.3753565220326394e-05
13,19.0,1.6876782610163197e-05
14,20.0,1.6876782610163197e-05
15,21.0,1.6876782610163197e-05
16,22.0,1.6876782610163197e-05
17,23.0,1.6876782610163197e-05
18,27.0,1.6876782610163197e-05
19,28.0,8.438391305081599e-05
20,29.0,1.6876782610163197e-05
21,30.0,6.750713044065279e-05
22,31.0,3.3753565220326394e-05
23,32.0,1.6876782610163197e-05
24,33.0,1.6876782610163197e-05
25,34.0,3.3753565220326394e-05
26,36.0,5.06303478304896e-05
27,37.0,3.3753565220326394e-05
28,38.0,8.438391305081599e-05
29,39.0,8.438391305081599e-05
30,40.0,6.750713044065279e-05
31,41.0,6.750713044065279e-05
32,42.0,5.06303478304896e-05
33,43.0,3.3753565220326394e-05
34,44.0,1.6876782610163197e-05
35,45.0,8.438391305081599e-05
36,46.0,5.06303478304896e-05
37,47.0,8.438391305081599e-05
38,48.0,6.750713044065279e-05
39,49.0,5.06303478304896e-05
40,50.0,8.438391305081599e-05
41,51.0,8.438391305081599e-05
42,52.0,5.06303478304896e-05
43,53.0,6.750713044065279e-05
44,54.0,6.750713044065279e-05
45,55.0,0.00011813747827114239
46,56.0,8.438391305081599e-05
47,57.0,8.438391305081599e-05
48,58.0,1.6876782610163197e-05
49,59.0,6.750713044065279e-05
50,60.0,6.750713044065279e-05
51,61.0,0.0001012606956609792
52,62.0,6.750713044065279e-05
53,63.0,0.00011813747827114239
54,64.0,0.0001012606956609792
55,65.0,5.06303478304896e-05
56,66.0,1.6876782610163197e-05
57,67.0,5.06303478304896e-05
58,68.0,6.750713044065279e-05
59,69.0,3.3753565220326394e-05
60,70.0,5.06303478304896e-05
61,71.0,1.6876782610163197e-05
62,72.0,5.06303478304896e-05
63,73.0,3.3753565220326394e-05
64,74.0,5.06303478304896e-05
65,75.0,1.6876782610163197e-05
66,76.0,5.06303478304896e-05
67,77.0,1.6876782610163197e-05
68,78.0,6.750713044065279e-05
69,79.0,3.3753565220326394e-05
70,80.0,3.3753565220326394e-05
71,81.0,0.0001012606956609792
72,82.0,8.438391305081599e-05
73,83.0,6.750713044065279e-05
74,84.0,1.6876782610163197e-05
75,85.0,6.750713044065279e-05
76,86.0,3.3753565220326394e-05
77,87.0,0.0001012606956609792
78,88.0,5.06303478304896e-05
79,89.0,3.3753565220326394e-05
80,90.0,5.06303478304896e-05
81,91.0,5.06303478304896e-05
82,92.0,3.3753565220326394e-05
83,93.0,0.0001012606956609792
84,95.0,3.3753565220326394e-05
85,96.0,3.3753565220326394e-05
86,98.0,5.06303478304896e-05
87,99.0,5.06303478304896e-05
88,100.0,3.3753565220326394e-05
89,101.0,1.6876782610163197e-05
90,103.0,8.438391305081599e-05
91,105.0,1.6876782610163197e-05
92,106.0,1.6876782610163197e-05
93,107.0,5.06303478304896e-05
94,108.0,3.3753565220326394e-05
95,110.0,1.6876782610163197e-05
96,112.0,1.6876782610163197e-05
97,113.0,3.3753565220326394e-05
98,114.0,3.3753565220326394e-05
99,115.0,5.06303478304896e-05
100,117.0,3.3753565220326394e-05
101,118.0,1.6876782610163197e-05
102,121.0,5.06303478304896e-05
103,123.0,3.3753565220326394e-05
104,125.0,1.6876782610163197e-05
105,128.0,1.6876782610163197e-05
106,130.0,3.3753565220326394e-05
107,131.0,1.6876782610163197e-05
108,137.0,1.6876782610163197e-05
109,142.0,1.6876782610163197e-05
110,147.0,1.6876782610163197e-05
111,148.0,1.6876782610163197e-05
0,0.0,0.8505316455696202
1,1.0,0.12028691983122362
2,2.0,0.019949367088607596
3,3.0,0.003881856540084388
4,4.0,0.0006413502109704641
5,5.0,0.00020253164556962027
6,6.0,1.6877637130801688e-05
7,7.0,3.3755274261603375e-05
8,8.0,1.6877637130801688e-05
9,11.0,1.6877637130801688e-05
10,14.0,1.6877637130801688e-05
11,15.0,1.6877637130801688e-05
12,21.0,5.0632911392405066e-05
13,22.0,1.6877637130801688e-05
14,23.0,1.6877637130801688e-05
15,24.0,6.751054852320675e-05
16,27.0,5.0632911392405066e-05
17,28.0,3.3755274261603375e-05
18,29.0,3.3755274261603375e-05
19,30.0,1.6877637130801688e-05
20,31.0,5.0632911392405066e-05
21,33.0,3.3755274261603375e-05
22,34.0,5.0632911392405066e-05
23,35.0,1.6877637130801688e-05
24,36.0,0.00010126582278481013
25,37.0,3.3755274261603375e-05
26,38.0,6.751054852320675e-05
27,40.0,5.0632911392405066e-05
28,41.0,6.751054852320675e-05
29,42.0,8.438818565400843e-05
30,43.0,0.00010126582278481013
31,44.0,8.438818565400843e-05
32,45.0,5.0632911392405066e-05
33,46.0,5.0632911392405066e-05
34,47.0,5.0632911392405066e-05
35,48.0,8.438818565400843e-05
36,49.0,3.3755274261603375e-05
37,50.0,1.6877637130801688e-05
38,51.0,0.00010126582278481013
39,52.0,6.751054852320675e-05
40,53.0,5.0632911392405066e-05
41,54.0,6.751054852320675e-05
42,55.0,6.751054852320675e-05
43,56.0,6.751054852320675e-05
44,57.0,0.00011814345991561182
45,58.0,0.00010126582278481013
46,59.0,5.0632911392405066e-05
47,61.0,6.751054852320675e-05
48,62.0,0.00011814345991561182
49,63.0,6.751054852320675e-05
50,64.0,3.3755274261603375e-05
51,65.0,0.00010126582278481013
52,66.0,1.6877637130801688e-05
53,67.0,1.6877637130801688e-05
54,68.0,5.0632911392405066e-05
55,69.0,5.0632911392405066e-05
56,70.0,3.3755274261603375e-05
57,71.0,3.3755274261603375e-05
58,72.0,3.3755274261603375e-05
59,73.0,3.3755274261603375e-05
60,74.0,3.3755274261603375e-05
61,76.0,1.6877637130801688e-05
62,77.0,5.0632911392405066e-05
63,78.0,1.6877637130801688e-05
64,79.0,8.438818565400843e-05
65,80.0,5.0632911392405066e-05
66,81.0,1.6877637130801688e-05
67,82.0,5.0632911392405066e-05
68,83.0,8.438818565400843e-05
69,84.0,1.6877637130801688e-05
70,85.0,5.0632911392405066e-05
71,86.0,8.438818565400843e-05
72,87.0,5.0632911392405066e-05
73,89.0,3.3755274261603375e-05
74,90.0,3.3755274261603375e-05
75,91.0,6.751054852320675e-05
76,92.0,1.6877637130801688e-05
77,93.0,3.3755274261603375e-05
78,94.0,5.0632911392405066e-05
79,95.0,3.3755274261603375e-05
80,96.0,5.0632911392405066e-05
81,97.0,3.3755274261603375e-05
82,98.0,3.3755274261603375e-05
83,99.0,1.6877637130801688e-05
84,100.0,1.6877637130801688e-05
85,101.0,1.6877637130801688e-05
86,102.0,3.3755274261603375e-05
87,103.0,1.6877637130801688e-05
88,104.0,1.6877637130801688e-05
89,105.0,6.751054852320675e-05
90,106.0,1.6877637130801688e-05
91,110.0,1.6877637130801688e-05
92,111.0,1.6877637130801688e-05
93,112.0,5.0632911392405066e-05
94,113.0,1.6877637130801688e-05
95,114.0,1.6877637130801688e-05
96,116.0,3.3755274261603375e-05
97,118.0,1.6877637130801688e-05
98,119.0,5.0632911392405066e-05
99,120.0,3.3755274261603375e-05
100,121.0,3.3755274261603375e-05
101,122.0,1.6877637130801688e-05
102,124.0,3.3755274261603375e-05
103,125.0,1.6877637130801688e-05
104,126.0,3.3755274261603375e-05
105,130.0,1.6877637130801688e-05
106,133.0,1.6877637130801688e-05
107,135.0,1.6877637130801688e-05
108,140.0,1.6877637130801688e-05
109,144.0,1.6877637130801688e-05
110,152.0,1.6877637130801688e-05
111,161.0,1.6877637130801688e-05
112,162.0,1.6877637130801688e-05
0,0.0,0.849322474909607
1,1.0,0.12031561517926537
2,2.0,0.02179569492785456
3,3.0,0.0034805528334403407
4,4.0,0.000608251951475011
5,5.0,8.447943770486263e-05
6,6.0,1.6895887540972526e-05
7,8.0,1.6895887540972526e-05
8,10.0,1.6895887540972526e-05
9,11.0,1.6895887540972526e-05
10,15.0,3.379177508194505e-05
11,18.0,1.6895887540972526e-05
12,20.0,1.6895887540972526e-05
13,22.0,5.068766262291758e-05
14,23.0,3.379177508194505e-05
15,24.0,1.6895887540972526e-05
16,25.0,1.6895887540972526e-05
17,27.0,1.6895887540972526e-05
18,29.0,1.6895887540972526e-05
19,30.0,3.379177508194505e-05
20,31.0,1.6895887540972526e-05
21,32.0,5.068766262291758e-05
22,34.0,1.6895887540972526e-05
23,35.0,5.068766262291758e-05
24,36.0,1.6895887540972526e-05
25,37.0,3.379177508194505e-05
26,38.0,8.447943770486263e-05
27,39.0,6.75835501638901e-05
28,40.0,5.068766262291758e-05
29,41.0,3.379177508194505e-05
30,42.0,6.75835501638901e-05
31,43.0,3.379177508194505e-05
32,44.0,5.068766262291758e-05
33,45.0,1.6895887540972526e-05
34,46.0,3.379177508194505e-05
35,48.0,6.75835501638901e-05
36,49.0,5.068766262291758e-05
37,50.0,8.447943770486263e-05
38,51.0,3.379177508194505e-05
39,52.0,5.068766262291758e-05
40,53.0,1.6895887540972526e-05
41,54.0,3.379177508194505e-05
42,56.0,3.379177508194505e-05
43,57.0,8.447943770486263e-05
44,58.0,6.75835501638901e-05
45,59.0,0.00010137532524583516
46,60.0,6.75835501638901e-05
47,61.0,5.068766262291758e-05
48,62.0,6.75835501638901e-05
49,63.0,3.379177508194505e-05
50,64.0,0.00011827121278680768
51,65.0,6.75835501638901e-05
52,66.0,3.379177508194505e-05
53,67.0,6.75835501638901e-05
54,68.0,0.00011827121278680768
55,69.0,6.75835501638901e-05
56,70.0,6.75835501638901e-05
57,71.0,3.379177508194505e-05
58,72.0,8.447943770486263e-05
59,73.0,8.447943770486263e-05
60,74.0,5.068766262291758e-05
61,75.0,0.00010137532524583516
62,76.0,8.447943770486263e-05
63,77.0,1.6895887540972526e-05
64,78.0,5.068766262291758e-05
65,79.0,6.75835501638901e-05
66,80.0,0.00010137532524583516
67,82.0,8.447943770486263e-05
68,83.0,5.068766262291758e-05
69,84.0,5.068766262291758e-05
70,86.0,5.068766262291758e-05
71,88.0,1.6895887540972526e-05
72,89.0,5.068766262291758e-05
73,90.0,3.379177508194505e-05
74,91.0,0.00010137532524583516
75,92.0,5.068766262291758e-05
76,93.0,6.75835501638901e-05
77,95.0,3.379177508194505e-05
78,96.0,3.379177508194505e-05
79,97.0,3.379177508194505e-05
80,98.0,1.6895887540972526e-05
81,99.0,3.379177508194505e-05
82,100.0,6.75835501638901e-05
83,101.0,1.6895887540972526e-05
84,102.0,3.379177508194505e-05
85,103.0,3.379177508194505e-05
86,104.0,3.379177508194505e-05
87,105.0,3.379177508194505e-05
88,106.0,3.379177508194505e-05
89,110.0,3.379177508194505e-05
90,111.0,3.379177508194505e-05
91,112.0,8.447943770486263e-05
92,113.0,1.6895887540972526e-05
93,114.0,3.379177508194505e-05
94,115.0,1.6895887540972526e-05
95,116.0,1.6895887540972526e-05
96,118.0,5.068766262291758e-05
97,123.0,1.6895887540972526e-05
98,124.0,1.6895887540972526e-05
99,125.0,3.379177508194505e-05
100,128.0,1.6895887540972526e-05
101,133.0,1.6895887540972526e-05
102,135.0,1.6895887540972526e-05
103,153.0,1.6895887540972526e-05
0,0.0,0.8493877206317034
1,1.0,0.11987163246347436
2,2.0,0.02168735748669876
3,3.0,0.00361455958111646
4,4.0,0.0008445232666159953
5,5.0,0.00015201418799087914
6,7.0,1.6890465332319907e-05
7,10.0,1.6890465332319907e-05
8,11.0,5.0671395996959714e-05
9,12.0,3.3780930664639814e-05
10,13.0,1.6890465332319907e-05
11,15.0,3.3780930664639814e-05
12,17.0,5.0671395996959714e-05
13,19.0,3.3780930664639814e-05
14,20.0,1.6890465332319907e-05
15,21.0,1.6890465332319907e-05
16,22.0,3.3780930664639814e-05
17,24.0,1.6890465332319907e-05
18,26.0,8.445232666159953e-05
19,27.0,1.6890465332319907e-05
20,28.0,1.6890465332319907e-05
21,29.0,3.3780930664639814e-05
22,30.0,1.6890465332319907e-05
23,31.0,5.0671395996959714e-05
24,34.0,3.3780930664639814e-05
25,35.0,1.6890465332319907e-05
26,36.0,3.3780930664639814e-05
27,37.0,3.3780930664639814e-05
28,38.0,1.6890465332319907e-05
29,39.0,6.756186132927963e-05
30,40.0,5.0671395996959714e-05
31,41.0,5.0671395996959714e-05
32,42.0,8.445232666159953e-05
33,43.0,3.3780930664639814e-05
34,44.0,0.00010134279199391943
35,45.0,1.6890465332319907e-05
36,46.0,5.0671395996959714e-05
37,48.0,3.3780930664639814e-05
38,49.0,0.00010134279199391943
39,50.0,6.756186132927963e-05
40,51.0,6.756186132927963e-05
41,52.0,6.756186132927963e-05
42,53.0,3.3780930664639814e-05
43,54.0,5.0671395996959714e-05
44,55.0,3.3780930664639814e-05
45,56.0,0.00011823325732623934
46,57.0,3.3780930664639814e-05
47,58.0,3.3780930664639814e-05
48,59.0,5.0671395996959714e-05
49,60.0,5.0671395996959714e-05
50,61.0,1.6890465332319907e-05
51,62.0,0.00010134279199391943
52,63.0,5.0671395996959714e-05
53,64.0,3.3780930664639814e-05
54,65.0,6.756186132927963e-05
55,66.0,3.3780930664639814e-05
56,67.0,6.756186132927963e-05
57,68.0,0.00011823325732623934
58,69.0,3.3780930664639814e-05
59,71.0,6.756186132927963e-05
60,72.0,5.0671395996959714e-05
61,73.0,6.756186132927963e-05
62,74.0,1.6890465332319907e-05
63,75.0,0.00013512372265855926
64,76.0,5.0671395996959714e-05
65,77.0,3.3780930664639814e-05
66,78.0,6.756186132927963e-05
67,79.0,8.445232666159953e-05
68,80.0,1.6890465332319907e-05
69,81.0,1.6890465332319907e-05
70,82.0,8.445232666159953e-05
71,83.0,1.6890465332319907e-05
72,84.0,5.0671395996959714e-05
73,85.0,5.0671395996959714e-05
74,86.0,8.445232666159953e-05
75,87.0,8.445232666159953e-05
76,88.0,1.6890465332319907e-05
77,89.0,5.0671395996959714e-05
78,90.0,5.0671395996959714e-05
79,91.0,3.3780930664639814e-05
80,92.0,3.3780930664639814e-05
81,93.0,1.6890465332319907e-05
82,94.0,1.6890465332319907e-05
83,95.0,5.0671395996959714e-05
84,96.0,5.0671395996959714e-05
85,97.0,1.6890465332319907e-05
86,98.0,1.6890465332319907e-05
87,100.0,5.0671395996959714e-05
88,101.0,3.3780930664639814e-05
89,102.0,3.3780930664639814e-05
90,103.0,3.3780930664639814e-05
91,104.0,3.3780930664639814e-05
92,105.0,1.6890465332319907e-05
93,106.0,1.6890465332319907e-05
94,107.0,1.6890465332319907e-05
95,108.0,1.6890465332319907e-05
96,109.0,3.3780930664639814e-05
97,110.0,3.3780930664639814e-05
98,112.0,5.0671395996959714e-05
99,113.0,3.3780930664639814e-05
100,114.0,5.0671395996959714e-05
101,115.0,3.3780930664639814e-05
102,116.0,1.6890465332319907e-05
103,117.0,1.6890465332319907e-05
104,119.0,3.3780930664639814e-05
105,120.0,1.6890465332319907e-05
106,121.0,5.0671395996959714e-05
107,122.0,3.3780930664639814e-05
108,129.0,1.6890465332319907e-05
109,140.0,1.6890465332319907e-05
0,0.0,0.8495724762580689
1,1.0,0.12115989049984792
2,2.0,0.020835445604785563
3,3.0,0.0033965324951840212
4,4.0,0.0004393524620636047
5,5.0,0.0001013890297069857
6,6.0,1.6898171617830952e-05
7,7.0,1.6898171617830952e-05
8,9.0,1.6898171617830952e-05
9,12.0,3.3796343235661904e-05
10,16.0,1.6898171617830952e-05
11,17.0,1.6898171617830952e-05
12,18.0,1.6898171617830952e-05
13,19.0,3.3796343235661904e-05
14,21.0,3.3796343235661904e-05
15,22.0,1.6898171617830952e-05
16,24.0,1.6898171617830952e-05
17,25.0,3.3796343235661904e-05
18,26.0,3.3796343235661904e-05
19,27.0,6.759268647132381e-05
20,28.0,1.6898171617830952e-05
21,30.0,3.3796343235661904e-05
22,32.0,3.3796343235661904e-05
23,33.0,1.6898171617830952e-05
24,34.0,1.6898171617830952e-05
25,35.0,1.6898171617830952e-05
26,36.0,6.759268647132381e-05
27,37.0,6.759268647132381e-05
28,38.0,1.6898171617830952e-05
29,39.0,3.3796343235661904e-05
30,40.0,1.6898171617830952e-05
31,41.0,8.449085808915476e-05
32,42.0,5.069451485349285e-05
33,43.0,6.759268647132381e-05
34,44.0,5.069451485349285e-05
35,45.0,5.069451485349285e-05
36,46.0,3.3796343235661904e-05
37,47.0,5.069451485349285e-05
38,48.0,5.069451485349285e-05
39,49.0,3.3796343235661904e-05
40,50.0,6.759268647132381e-05
41,51.0,5.069451485349285e-05
42,52.0,5.069451485349285e-05
43,53.0,6.759268647132381e-05
44,55.0,3.3796343235661904e-05
45,56.0,5.069451485349285e-05
46,57.0,6.759268647132381e-05
47,58.0,3.3796343235661904e-05
48,59.0,3.3796343235661904e-05
49,60.0,6.759268647132381e-05
50,61.0,3.3796343235661904e-05
51,62.0,0.00011828720132481665
52,63.0,5.069451485349285e-05
53,64.0,8.449085808915476e-05
54,65.0,0.0001013890297069857
55,66.0,6.759268647132381e-05
56,67.0,6.759268647132381e-05
57,68.0,5.069451485349285e-05
58,69.0,0.00016898171617830951
59,70.0,3.3796343235661904e-05
60,71.0,6.759268647132381e-05
61,72.0,5.069451485349285e-05
62,73.0,6.759268647132381e-05
63,74.0,6.759268647132381e-05
64,75.0,6.759268647132381e-05
65,76.0,6.759268647132381e-05
66,77.0,8.449085808915476e-05
67,78.0,5.069451485349285e-05
68,79.0,3.3796343235661904e-05
69,80.0,6.759268647132381e-05
70,81.0,1.6898171617830952e-05
71,82.0,3.3796343235661904e-05
72,83.0,5.069451485349285e-05
73,84.0,1.6898171617830952e-05
74,85.0,3.3796343235661904e-05
75,86.0,5.069451485349285e-05
76,87.0,0.0001013890297069857
77,88.0,0.0001013890297069857
78,89.0,3.3796343235661904e-05
79,90.0,1.6898171617830952e-05
80,91.0,3.3796343235661904e-05
81,92.0,5.069451485349285e-05
82,93.0,5.069451485349285e-05
83,94.0,1.6898171617830952e-05
84,95.0,3.3796343235661904e-05
85,96.0,6.759268647132381e-05
86,98.0,1.6898171617830952e-05
87,99.0,3.3796343235661904e-05
88,101.0,5.069451485349285e-05
89,102.0,1.6898171617830952e-05
90,103.0,1.6898171617830952e-05
91,104.0,1.6898171617830952e-05
92,105.0,3.3796343235661904e-05
93,106.0,1.6898171617830952e-05
94,107.0,1.6898171617830952e-05
95,109.0,6.759268647132381e-05
96,111.0,1.6898171617830952e-05
97,112.0,1.6898171617830952e-05
98,113.0,3.3796343235661904e-05
99,114.0,1.6898171617830952e-05
100,116.0,3.3796343235661904e-05
101,119.0,1.6898171617830952e-05
102,120.0,1.6898171617830952e-05
103,121.0,3.3796343235661904e-05
104,122.0,1.6898171617830952e-05
105,125.0,3.3796343235661904e-05
106,126.0,1.6898171617830952e-05
107,130.0,3.3796343235661904e-05
108,136.0,1.6898171617830952e-05
109,142.0,1.6898171617830952e-05
110,144.0,3.3796343235661904e-05
111,146.0,1.6898171617830952e-05
112,149.0,1.6898171617830952e-05
0,0.0,0.8464994510598767
1,1.0,0.12324972552993835
2,2.0,0.021163753061396843
3,3.0,0.004256397263744616
4,4.0,0.0005742758212988767
5,5.0,0.00020268558398783886
6,6.0,1.6890465332319907e-05
7,8.0,1.6890465332319907e-05
8,9.0,3.3780930664639814e-05
9,11.0,1.6890465332319907e-05
10,13.0,1.6890465332319907e-05
11,17.0,3.3780930664639814e-05
12,19.0,1.6890465332319907e-05
13,20.0,1.6890465332319907e-05
14,21.0,3.3780930664639814e-05
15,22.0,1.6890465332319907e-05
16,24.0,1.6890465332319907e-05
17,25.0,1.6890465332319907e-05
18,27.0,3.3780930664639814e-05
19,28.0,1.6890465332319907e-05
20,29.0,3.3780930664639814e-05
21,30.0,8.445232666159953e-05
22,31.0,3.3780930664639814e-05
23,32.0,3.3780930664639814e-05
24,34.0,6.756186132927963e-05
25,36.0,1.6890465332319907e-05
26,37.0,1.6890465332319907e-05
27,38.0,3.3780930664639814e-05
28,40.0,3.3780930664639814e-05
29,42.0,3.3780930664639814e-05
30,43.0,8.445232666159953e-05
31,44.0,1.6890465332319907e-05
32,45.0,6.756186132927963e-05
33,46.0,1.6890465332319907e-05
34,47.0,8.445232666159953e-05
35,48.0,3.3780930664639814e-05
36,49.0,1.6890465332319907e-05
37,50.0,5.0671395996959714e-05
38,51.0,6.756186132927963e-05
39,53.0,3.3780930664639814e-05
40,54.0,0.00010134279199391943
41,55.0,5.0671395996959714e-05
42,56.0,3.3780930664639814e-05
43,57.0,3.3780930664639814e-05
44,58.0,1.6890465332319907e-05
45,59.0,6.756186132927963e-05
46,60.0,6.756186132927963e-05
47,61.0,3.3780930664639814e-05
48,62.0,5.0671395996959714e-05
49,63.0,3.3780930664639814e-05
50,64.0,6.756186132927963e-05
51,65.0,5.0671395996959714e-05
52,66.0,3.3780930664639814e-05
53,67.0,5.0671395996959714e-05
54,68.0,8.445232666159953e-05
55,69.0,5.0671395996959714e-05
56,70.0,8.445232666159953e-05
57,71.0,1.6890465332319907e-05
58,72.0,5.0671395996959714e-05
59,73.0,3.3780930664639814e-05
60,74.0,6.756186132927963e-05
61,75.0,6.756186132927963e-05
62,76.0,6.756186132927963e-05
63,77.0,6.756186132927963e-05
64,78.0,5.0671395996959714e-05
65,79.0,1.6890465332319907e-05
66,80.0,0.00011823325732623934
67,81.0,0.00011823325732623934
68,82.0,3.3780930664639814e-05
69,83.0,3.3780930664639814e-05
70,84.0,1.6890465332319907e-05
71,85.0,3.3780930664639814e-05
72,86.0,3.3780930664639814e-05
73,87.0,8.445232666159953e-05
74,88.0,3.3780930664639814e-05
75,89.0,5.0671395996959714e-05
76,90.0,3.3780930664639814e-05
77,92.0,5.0671395996959714e-05
78,93.0,8.445232666159953e-05
79,94.0,6.756186132927963e-05
80,95.0,5.0671395996959714e-05
81,96.0,1.6890465332319907e-05
82,98.0,3.3780930664639814e-05
83,99.0,3.3780930664639814e-05
84,100.0,1.6890465332319907e-05
85,101.0,3.3780930664639814e-05
86,103.0,1.6890465332319907e-05
87,104.0,5.0671395996959714e-05
88,105.0,1.6890465332319907e-05
89,107.0,5.0671395996959714e-05
90,108.0,1.6890465332319907e-05
91,110.0,5.0671395996959714e-05
92,111.0,1.6890465332319907e-05
93,112.0,1.6890465332319907e-05
94,113.0,1.6890465332319907e-05
95,116.0,1.6890465332319907e-05
96,117.0,1.6890465332319907e-05
97,118.0,5.0671395996959714e-05
98,120.0,1.6890465332319907e-05
99,121.0,3.3780930664639814e-05
100,122.0,1.6890465332319907e-05
101,124.0,1.6890465332319907e-05
102,125.0,3.3780930664639814e-05
103,126.0,6.756186132927963e-05
104,127.0,1.6890465332319907e-05
105,134.0,1.6890465332319907e-05
0,0.0,0.8486102897693673
1,1.0,0.12146658781785925
2,2.0,0.020917462194812875
3,3.0,0.0034637154684463967
4,4.0,0.0006420545746388443
5,5.0,0.0001858579031849286
6,6.0,5.068851905043508e-05
7,7.0,1.6896173016811692e-05
8,8.0,1.6896173016811692e-05
9,12.0,1.6896173016811692e-05
10,13.0,1.6896173016811692e-05
11,14.0,3.3792346033623384e-05
12,15.0,1.6896173016811692e-05
13,17.0,3.3792346033623384e-05
14,18.0,5.068851905043508e-05
15,19.0,1.6896173016811692e-05
16,20.0,1.6896173016811692e-05
17,21.0,5.068851905043508e-05
18,23.0,1.6896173016811692e-05
19,24.0,5.068851905043508e-05
20,26.0,1.6896173016811692e-05
21,27.0,1.6896173016811692e-05
22,28.0,1.6896173016811692e-05
23,29.0,1.6896173016811692e-05
24,30.0,5.068851905043508e-05
25,31.0,3.3792346033623384e-05
26,33.0,5.068851905043508e-05
27,34.0,1.6896173016811692e-05
28,35.0,1.6896173016811692e-05
29,36.0,3.3792346033623384e-05
30,37.0,1.6896173016811692e-05
31,38.0,1.6896173016811692e-05
32,39.0,8.448086508405846e-05
33,40.0,8.448086508405846e-05
34,41.0,5.068851905043508e-05
