year,overall_rating,player_name,z
2016,75.0,Zeca,1.0574079516313457
2008,77.0,Stanislav Sestak,1.3295343493204588
2009,76.0,Stanislav Sestak,1.1934711504759021
2015,75.0,Peter Pekarik,1.0574079516313457
2016,76.0,Peter Pekarik,1.1934711504759021
2011,75.5,Cristian Sapunaru,1.125439551053624
2012,76.0,Cristian Sapunaru,1.1934711504759021
2013,76.125,Cristian Sapunaru,1.2104790503314717
2014,75.0,Orestis Karnezis,1.0574079516313457
2015,77.2,Orestis Karnezis,1.3567469890893704
2016,78.66666666666667,Orestis Karnezis,1.5563063473947205
2009,75.0,Michalis Sifakis,1.0574079516313457
2010,75.0,Michalis Sifakis,1.0574079516313457
2012,80.0,Lukasz Piszczek,1.7377239458541285
2013,82.2,Lukasz Piszczek,2.0370629833121536
2014,82.5,Lukasz Piszczek,2.07788194296552
2015,81.33333333333333,Lukasz Piszczek,1.9191415443135367
2016,80.0,Lukasz Piszczek,1.7377239458541285
2012,75.0,Maor Melikson,1.0574079516313457
2016,77.0,Lior Rafaelov,1.3295343493204588
2009,80.5,Edin Dzeko,1.805755545276407
2010,84.5,Edin Dzeko,2.3500083406546333
2011,84.0,Edin Dzeko,2.281976741232355
2012,83.0,Edin Dzeko,2.1459135423877984
2013,83.0,Edin Dzeko,2.1459135423877984
2014,83.0,Edin Dzeko,2.1459135423877984
2015,81.0,Edin Dzeko,1.8737871446986851
2016,80.0,Edin Dzeko,1.7377239458541285
2007,75.0,Simon Vukcevic,1.0574079516313457
2008,75.0,Simon Vukcevic,1.0574079516313457
2009,77.0,Simon Vukcevic,1.3295343493204588
2010,78.5,Simon Vukcevic,1.5336291475872936
2011,77.5,Simon Vukcevic,1.3975659487427372
2009,77.5,Gojko Kacar,1.3975659487427372
2010,76.0,Gojko Kacar,1.1934711504759021
2011,75.5,Gojko Kacar,1.125439551053624
2009,77.0,Aleksandar Kolarov,1.3295343493204588
2010,79.0,Aleksandar Kolarov,1.601660747009572
2011,79.0,Aleksandar Kolarov,1.601660747009572
2012,78.5,Aleksandar Kolarov,1.5336291475872936
2013,78.0,Aleksandar Kolarov,1.4655975481650154
2014,78.0,Aleksandar Kolarov,1.4655975481650154
2015,78.66666666666667,Aleksandar Kolarov,1.5563063473947205
2016,78.5,Aleksandar Kolarov,1.5336291475872936
2007,76.0,Anther Yahia,1.1934711504759021
2007,76.5,Andrew Reid,1.2615027498981806
2010,75.5,Andrew Reid,1.125439551053624
2007,77.0,Mariano Pavone,1.3295343493204588
2008,76.0,Mariano Pavone,1.1934711504759021
2007,77.0,Diego Valeri,1.3295343493204588
2009,77.0,Diego Valeri,1.3295343493204588
2013,74.8,Diego Valeri,1.0301953118624338
2014,76.0,Diego Valeri,1.1934711504759021
2015,77.5,Diego Valeri,1.3975659487427372
2016,77.0,Diego Valeri,1.3295343493204588
2007,78.0,Pablo Javier Perez,1.4655975481650154
2013,77.0,Pablo Javier Perez,1.3295343493204588
2014,76.0,Pablo Javier Perez,1.1934711504759021
2015,76.16666666666667,Pablo Javier Perez,1.216148350283329
2016,76.33333333333333,Pablo Javier Perez,1.2388255500907537
2007,77.0,Maximiliano Pellegrino,1.3295343493204588
2007,77.0,Mauro Zarate,1.3295343493204588
2008,77.0,Mauro Zarate,1.3295343493204588
2009,81.5,Mauro Zarate,1.9418187441209633
2010,80.5,Mauro Zarate,1.805755545276407
2011,80.0,Mauro Zarate,1.7377239458541285
2012,77.5,Mauro Zarate,1.3975659487427372
2013,75.88888888888889,Mauro Zarate,1.178353017270951
2014,76.83333333333333,Mauro Zarate,1.3068571495130321
2015,76.0,Mauro Zarate,1.1934711504759021
2016,76.0,Mauro Zarate,1.1934711504759021
2007,82.0,Jose Sosa,2.0098503435432415
2008,76.0,Jose Sosa,1.1934711504759021
2010,75.0,Jose Sosa,1.0574079516313457
2011,75.0,Jose Sosa,1.0574079516313457
2012,76.0,Jose Sosa,1.1934711504759021
2013,76.0,Jose Sosa,1.1934711504759021
2014,75.88888888888889,Jose Sosa,1.178353017270951
2015,78.7,Jose Sosa,1.5608417873562055
2016,78.0,Jose Sosa,1.4655975481650154
2015,75.0,Marcos Angeleri,1.0574079516313457
2016,76.0,Marcos Angeleri,1.1934711504759021
2015,74.71428571428571,Jose Maria Basanta,1.0185327519614715
2016,75.5,Jose Maria Basanta,1.125439551053624
2007,75.0,Nicolas Navarro,1.0574079516313457
2008,75.0,Nicolas Navarro,1.0574079516313457
2009,75.0,Nicolas Navarro,1.0574079516313457
2007,76.0,Lucas Barrios,1.1934711504759021
2009,76.0,Lucas Barrios,1.1934711504759021
2010,80.0,Lucas Barrios,1.7377239458541285
2011,82.0,Lucas Barrios,2.0098503435432415
2012,77.0,Lucas Barrios,1.3295343493204588
2013,77.0,Lucas Barrios,1.3295343493204588
