player_name,age,position,fee,fee_cleaned,year,club_name,club_involved_name,transfer_movement
Aaron Hughes,25.0,Centre-Back,£1.35m,1.35,2005,Aston Villa,Newcastle,in
Aaron Hughes,25.0,Centre-Back,£1.35m,1.35,2005,Newcastle United,Aston Villa,out
Aaron Hughes,27.0,Centre-Back,£1.35m,1.35,2007,Aston Villa,Fulham,out
Aaron Hughes,27.0,Centre-Back,£1.35m,1.35,2007,Fulham FC,Aston Villa,in
Aaron Hughes,34.0,Centre-Back,Free transfer,0.0,2014,Brighton & Hove Albion,QPR,in
Aaron Hughes,34.0,Centre-Back,Free transfer,0.0,2014,Queens Park Rangers,Brighton,out
Aaron Lennon,18.0,Right Winger,£1.08m,1.08,2005,Leeds United,Spurs,out
Aaron Lennon,18.0,Right Winger,£1.08m,1.08,2005,Tottenham Hotspur,Leeds,in
Aaron Lennon,27.0,Right Winger,Loan,0.0,2014,Everton FC,Spurs,in
Aaron Lennon,27.0,Right Winger,Loan,0.0,2014,Tottenham Hotspur,Everton,out
Aaron Lennon,28.0,Right Winger,"End of loanMay 31, 2015",0.0,2014,Everton FC,Spurs,out
Aaron Lennon,28.0,Right Winger,"End of loanMay 31, 2015",0.0,2014,Tottenham Hotspur,Everton,in
Aaron Lennon,28.0,Right Winger,£5.40m,5.4,2015,Tottenham Hotspur,Everton,out
Aaron Lennon,28.0,Right Winger,£5.40m,5.4,2015,Everton FC,Spurs,in
Aaron Lennon,30.0,Right Winger,£1.53m,1.53,2017,Everton FC,Burnley,out
Aaron Lennon,30.0,Right Winger,£1.53m,1.53,2017,Burnley FC,Everton,in
Aaron Mooy,25.0,Central Midfield,Loan,0.0,2016,Huddersfield Town,Man City,in
Aaron Mooy,25.0,Central Midfield,Loan,0.0,2016,Manchester City,Huddersfield,out
Aaron Mooy,26.0,Central Midfield,"End of loanMay 31, 2017",0.0,2016,Huddersfield Town,Man City,out
Aaron Mooy,26.0,Central Midfield,"End of loanMay 31, 2017",0.0,2016,Manchester City,Huddersfield,in
Aaron Mooy,26.0,Central Midfield,£8.19m,8.19,2017,Manchester City,Huddersfield,out
Aaron Mooy,26.0,Central Midfield,£8.19m,8.19,2017,Huddersfield Town,Man City,in
Aaron Mooy,28.0,Central Midfield,Loan,0.0,2019,Huddersfield Town,Brighton,out
Aaron Mooy,28.0,Central Midfield,Loan,0.0,2019,Brighton & Hove Albion,Huddersfield,in
Aaron Mooy,29.0,Central Midfield,"End of loanJan 23, 2020",0.0,2019,Huddersfield Town,Brighton,in
Aaron Mooy,29.0,Central Midfield,"End of loanJan 23, 2020",0.0,2019,Brighton & Hove Albion,Huddersfield,out
Aaron Mooy,29.0,Central Midfield,£2.97m,2.97,2019,Huddersfield Town,Brighton,out
Aaron Mooy,29.0,Central Midfield,£2.97m,2.97,2019,Brighton & Hove Albion,Huddersfield,in
Abdelaziz Ahanfouf,21.0,Centre-Forward,£113Th.,0.113,1999,FC Hansa Rostock,Unterhaching,in
Abdelaziz Ahanfouf,21.0,Centre-Forward,£113Th.,0.113,1999,SpVgg Unterhaching,Hansa Rostock,out
Abdelaziz Ahanfouf,22.0,Centre-Forward,£113Th.,0.113,2000,SpVgg Unterhaching,Hansa Rostock,in
Abdelaziz Ahanfouf,22.0,Centre-Forward,£113Th.,0.113,2000,FC Hansa Rostock,Unterhaching,out
Abdeslam Ouaddou,24.0,Centre-Back,Loan,0.0,2003,Fulham FC,Stade Rennais,out
Abdeslam Ouaddou,24.0,Centre-Back,Loan,0.0,2003,Stade Rennais FC,Fulham,in
Abdeslam Ouaddou,25.0,Centre-Back,"End of loanJun 30, 2004",0.0,2004,Fulham FC,Stade Rennais,in
Abdeslam Ouaddou,25.0,Centre-Back,"End of loanJun 30, 2004",0.0,2004,Stade Rennais FC,Fulham,out
Abdeslam Ouaddou,29.0,Centre-Back,£2.88m,2.88,2008,AS Nancy-Lorraine,Valenciennes FC,in
Abdeslam Ouaddou,29.0,Centre-Back,£2.88m,2.88,2008,Valenciennes FC,AS Nancy,out
Abdeslam Ouaddou,34.0,Centre-Back,-,0.0,2012,AS Nancy-Lorraine,Without Club,in
Abdeslam Ouaddou,34.0,Centre-Back,-,0.0,2012,AS Nancy-Lorraine,Retired,out
Abdou Diallo,21.0,Centre-Back,£4.50m,4.5,2017,AS Monaco,1.FSV Mainz 05,out
Abdou Diallo,21.0,Centre-Back,£4.50m,4.5,2017,1.FSV Mainz 05,Monaco,in
Abdou Diallo,22.0,Centre-Back,£25.20m,25.2,2018,Borussia Dortmund,1.FSV Mainz 05,in
Abdou Diallo,22.0,Centre-Back,£25.20m,25.2,2018,1.FSV Mainz 05,Bor. Dortmund,out
Abdou Diallo,23.0,Centre-Back,£28.80m,28.8,2019,Paris Saint-Germain,Bor. Dortmund,in
Abdou Diallo,23.0,Centre-Back,£28.80m,28.8,2019,Borussia Dortmund,Paris SG,out
Abdoul Camara,21.0,Left Winger,£1.35m,1.35,2011,Stade Rennais FC,FC Sochaux,out
Abdoul Camara,21.0,Left Winger,£1.35m,1.35,2011,FC Sochaux-Montbéliard,Stade Rennais,in
Abdoul Camara,25.0,Left Winger,£1.53m,1.53,2015,Derby County,SCO Angers,in
Abdoul Camara,25.0,Left Winger,£1.53m,1.53,2015,SCO Angers,Derby,out
Abdoul Camara,27.0,Left Winger,Free transfer,0.0,2017,Derby County,Guingamp,out
Abdoul Camara,27.0,Left Winger,Free transfer,0.0,2017,EA Guingamp,Derby,in
Abdoulay Konko,24.0,Right-Back,£7.65m,7.65,2008,Genoa CFC,Sevilla FC,out
Abdoulay Konko,24.0,Right-Back,£7.65m,7.65,2008,Sevilla FC,Genoa,in
Abdoulay Konko,26.0,Right-Back,£5.40m,5.4,2010,Genoa CFC,Sevilla FC,in
Abdoulay Konko,26.0,Right-Back,£5.40m,5.4,2010,Sevilla FC,Genoa,out
Abdoulay Konko,27.0,Right-Back,£3.60m,3.6,2011,Genoa CFC,Lazio,out
Abdoulay Konko,27.0,Right-Back,£3.60m,3.6,2011,SS Lazio,Genoa,in
Abdoulay Konko,32.0,Right-Back,Free transfer,0.0,2016,Atalanta BC,Lazio,in
Abdoulay Konko,32.0,Right-Back,Free transfer,0.0,2016,SS Lazio,Atalanta,out
Abdoulaye Doucouré,23.0,Central Midfield,"End of loanJun 30, 2016",0.0,2016,Watford FC,Granada CF,in
Abdoulaye Doucouré,23.0,Central Midfield,"End of loanJun 30, 2016",0.0,2016,Granada CF,Watford,out
Abdoulaye Doucouré,23.0,Central Midfield,Loan,0.0,2015,Watford FC,Granada CF,out
Abdoulaye Doucouré,23.0,Central Midfield,Loan,0.0,2015,Granada CF,Watford,in
Abdoulaye Doucouré,23.0,Central Midfield,£9.54m,9.54,2015,Watford FC,Stade Rennais,in
Abdoulaye Doucouré,23.0,Central Midfield,£9.54m,9.54,2015,Stade Rennais FC,Watford,out
Abdoulaye Doucouré,27.0,Central Midfield,£19.89m,19.89,2020,Watford FC,Everton,out
Abdoulaye Doucouré,27.0,Central Midfield,£19.89m,19.89,2020,Everton FC,Watford,in
Abdoulaye Fayé,26.0,Centre-Back,Loan,0.0,2004,RC Lens,FC Istres,out
Abdoulaye Fayé,26.0,Centre-Back,Loan,0.0,2004,FC Istres Ouest Provence,Lens,in
Abdoulaye Fayé,27.0,Centre-Back,Loan,0.0,2005,Bolton Wanderers,Lens,in
Abdoulaye Fayé,27.0,Centre-Back,Loan,0.0,2005,RC Lens,Bolton,out
Abdoulaye Fayé,28.0,Centre-Back,"End of loanJun 30, 2006",0.0,2006,Bolton Wanderers,Lens,out
Abdoulaye Fayé,28.0,Centre-Back,"End of loanJun 30, 2006",0.0,2006,RC Lens,Bolton,in
Abdoulaye Fayé,28.0,Centre-Back,£2.70m,2.7,2006,Bolton Wanderers,Lens,in
Abdoulaye Fayé,28.0,Centre-Back,£2.70m,2.7,2006,RC Lens,Bolton,out
Abdoulaye Fayé,29.0,Centre-Back,£2.52m,2.52,2007,Bolton Wanderers,Newcastle,out
Abdoulaye Fayé,29.0,Centre-Back,£2.52m,2.52,2007,Newcastle United,Bolton,in
Abdoulaye Fayé,30.0,Centre-Back,£2.61m,2.61,2008,Newcastle United,Stoke City,out
Abdoulaye Fayé,30.0,Centre-Back,£2.61m,2.61,2008,Stoke City,Newcastle,in
Abdoulaye Fayé,33.0,Centre-Back,Free transfer,0.0,2011,West Ham United,Stoke City,in
Abdoulaye Fayé,33.0,Centre-Back,Free transfer,0.0,2011,Stoke City,West Ham,out
Abdoulaye Fayé,34.0,Centre-Back,Free transfer,0.0,2012,Hull City,West Ham,in
Abdoulaye Fayé,34.0,Centre-Back,Free transfer,0.0,2012,West Ham United,Hull City,out
Abdoulaye Méïté,25.0,Centre-Back,£1.35m,1.35,2006,Bolton Wanderers,Marseille,in
Abdoulaye Méïté,25.0,Centre-Back,£1.35m,1.35,2006,Olympique Marseille,Bolton,out
Abdoulaye Méïté,27.0,Centre-Back,£2.34m,2.34,2008,Bolton Wanderers,West Brom,out
Abdoulaye Méïté,27.0,Centre-Back,£2.34m,2.34,2008,West Bromwich Albion,Bolton,in
Abdoulaye Méïté,30.0,Centre-Back,Free transfer,0.0,2011,West Bromwich Albion,Dijon,out
Abdoulaye Méïté,30.0,Centre-Back,Free transfer,0.0,2011,Dijon FCO,West Brom,in
Abdul Kader Keita,25.0,Right Winger,£15.12m,15.12,2007,Olympique Lyon,LOSC Lille,in
Abdul Kader Keita,25.0,Right Winger,£15.12m,15.12,2007,LOSC Lille,Olympique Lyon,out
Abel Xavier,26.0,Right-Back,£1.89m,1.89,1999,PSV Eindhoven,Everton,out
Abel Xavier,26.0,Right-Back,£1.89m,1.89,1999,Everton FC,PSV Eindhoven,in
Abel Xavier,29.0,Right-Back,£1.08m,1.08,2001,Liverpool FC,Everton,in
Abel Xavier,29.0,Right-Back,£1.08m,1.08,2001,Everton FC,Liverpool,out
Abel Xavier,31.0,Right-Back,Free transfer,0.0,2003,Liverpool FC,Hannover 96,out
Abel Xavier,31.0,Right-Back,Free transfer,0.0,2003,Hannover 96,Liverpool,in
Abel Xavier,32.0,Right-Back,Free transfer,0.0,2005,Middlesbrough FC,AS Roma,in
Abel Xavier,32.0,Right-Back,Free transfer,0.0,2005,AS Roma,Middlesbrough,out
Adam Bolder,19.0,Midfielder,£113k,0.113,2000,Derby County,Hull City,in
Adam Bolder,19.0,Midfielder,£113k,0.113,2000,Hull City,Derby,out
Adam Bolder,26.0,Midfielder,£270Th.,0.27,2006,Derby County,QPR,out
Adam Bolder,26.0,Midfielder,£270Th.,0.27,2006,Queens Park Rangers,Derby,in
Adam Bolder,27.0,Midfielder,"End of loanMay 1, 2008",0.0,2007,Sheffield Wednesday,QPR,out
Adam Bolder,27.0,Midfielder,"End of loanMay 1, 2008",0.0,2007,Queens Park Rangers,Sheff Wed,in
Adam Bolder,27.0,Midfielder,Loan,0.0,2007,Sheffield Wednesday,QPR,in
Adam Bolder,27.0,Midfielder,Loan,0.0,2007,Queens Park Rangers,Sheff Wed,out
Adam Clayton,23.0,Central Midfield,£900Th.,0.9,2012,Leeds United,Huddersfield,out
Adam Clayton,23.0,Central Midfield,£900Th.,0.9,2012,Huddersfield Town,Leeds,in
Adam Clayton,25.0,Central Midfield,£1.68m,1.68,2014,Huddersfield Town,Middlesbrough,out
Adam Clayton,25.0,Central Midfield,£1.68m,1.68,2014,Middlesbrough FC,Huddersfield,in
Adam Clayton,31.0,Central Midfield,Free transfer,0.0,2020,Birmingham City,Middlesbrough,in
Adam Clayton,31.0,Central Midfield,Free transfer,0.0,2020,Middlesbrough FC,Birmingham,out
Adam Forshaw,22.0,Central Midfield,£3.42m,3.42,2014,Brentford FC,Wigan,out
Adam Forshaw,22.0,Central Midfield,£3.42m,3.42,2014,Wigan Athletic,Brentford,in
Adam Forshaw,23.0,Central Midfield,£2.40m,2.4,2014,Middlesbrough FC,Wigan,in
Adam Forshaw,23.0,Central Midfield,£2.40m,2.4,2014,Wigan Athletic,Middlesbrough,out
Adam Forshaw,26.0,Central Midfield,£4.59m,4.59,2017,Middlesbrough FC,Leeds,out
Adam Forshaw,26.0,Central Midfield,£4.59m,4.59,2017,Leeds United,Middlesbrough,in
Adam Johnson,19.0,Right Winger,"End of loanNov 20, 2006",0.0,2006,Leeds United,Middlesbrough,out
Adam Johnson,19.0,Right Winger,"End of loanNov 20, 2006",0.0,2006,Middlesbrough FC,Leeds,in
Adam Johnson,19.0,Right Winger,Loan,0.0,2006,Leeds United,Middlesbrough,in
Adam Johnson,19.0,Right Winger,Loan,0.0,2006,Middlesbrough FC,Leeds,out
Adam Johnson,20.0,Right Winger,"End of loanNov 11, 2007",0.0,2007,Watford FC,Middlesbrough,out
Adam Johnson,20.0,Right Winger,"End of loanNov 11, 2007",0.0,2007,Middlesbrough FC,Watford,in
Adam Johnson,20.0,Right Winger,Loan,0.0,2007,Watford FC,Middlesbrough,in
Adam Johnson,20.0,Right Winger,Loan,0.0,2007,Middlesbrough FC,Watford,out
Adam Johnson,22.0,Right Winger,£7.20m,7.2,2009,Middlesbrough FC,Man City,out
Adam Johnson,22.0,Right Winger,£7.20m,7.2,2009,Manchester City,Middlesbrough,in
Adam Johnson,25.0,Right Winger,£11.34m,11.34,2012,Sunderland AFC,Man City,in
Adam Johnson,25.0,Right Winger,£11.34m,11.34,2012,Manchester City,Sunderland,out
Adam Webster,23.0,Centre-Back,£3.60m,3.6,2018,Bristol City,Ipswich,in
Adam Webster,23.0,Centre-Back,£3.60m,3.6,2018,Ipswich Town,Bristol City,out
Adam Webster,24.0,Centre-Back,£20.00m,20.0,2019,Bristol City,Brighton,out
Adam Webster,24.0,Centre-Back,£20.00m,20.0,2019,Brighton & Hove Albion,Bristol City,in
Adama Diakhaby,21.0,Left Winger,£9.00m,9.0,2017,AS Monaco,Stade Rennais,in
Adama Diakhaby,21.0,Left Winger,£9.00m,9.0,2017,Stade Rennais FC,Monaco,out
Adama Diakhaby,22.0,Left Winger,£9.00m,9.0,2018,Huddersfield Town,Monaco,in
Adama Diakhaby,22.0,Left Winger,£9.00m,9.0,2018,AS Monaco,Huddersfield,out
Adama Diakhaby,23.0,Left Winger,"End of loanMay 31, 2020",0.0,2019,Huddersfield Town,Nottm Forest,in
Adama Diakhaby,23.0,Left Winger,"End of loanMay 31, 2020",0.0,2019,Nottingham Forest,Huddersfield,out
Adama Diakhaby,23.0,Left Winger,Loan,0.0,2019,Huddersfield Town,Nottm Forest,out
Adama Diakhaby,23.0,Left Winger,Loan,0.0,2019,Nottingham Forest,Huddersfield,in
Adama Traoré,20.0,Central Midfield,£12.60m,12.6,2015,AS Monaco,LOSC Lille,in
Adama Traoré,20.0,Central Midfield,£12.60m,12.6,2015,LOSC Lille,Monaco,out
Adama Traoré,20.0,Right Winger,£7.43m,7.43,2016,Aston Villa,Middlesbrough,out
Adama Traoré,20.0,Right Winger,£7.43m,7.43,2016,Middlesbrough FC,Aston Villa,in
Adama Traoré,21.0,Central Midfield,Loan,0.0,2016,AS Monaco,Rio Ave FC,out
Adama Traoré,21.0,Central Midfield,Loan,0.0,2016,Rio Ave FC,Monaco,in
Adama Traoré,22.0,Central Midfield,"End of loanJun 30, 2017",0.0,2017,AS Monaco,Rio Ave FC,in
Adama Traoré,22.0,Central Midfield,"End of loanJun 30, 2017",0.0,2017,Rio Ave FC,Monaco,out
Adama Traoré,22.0,Right Winger,£18.00m,18.0,2018,Middlesbrough FC,Wolves,out
Adama Traoré,22.0,Right Winger,£18.00m,18.0,2018,Wolverhampton Wanderers,Middlesbrough,in
Adama Traoré,24.0,Central Midfield,Loan,0.0,2019,FC Metz,Monaco,in
Adama Traoré,24.0,Central Midfield,Loan,0.0,2019,AS Monaco,FC Metz,out
Adama Traoré,25.0,Central Midfield,"End of loanJun 30, 2020",0.0,2020,AS Monaco,FC Metz,in
Adama Traoré,25.0,Central Midfield,"End of loanJun 30, 2020",0.0,2020,FC Metz,Monaco,out
Ade Akinbiyi,30.0,Centre-Forward,£810Th.,0.81,2004,Stoke City,Burnley,out
Ade Akinbiyi,30.0,Centre-Forward,£810Th.,0.81,2004,Burnley FC,Stoke City,in
Ade Akinbiyi,31.0,Centre-Forward,£2.36m,2.36,2005,Sheffield United,Burnley,in
Ade Akinbiyi,31.0,Centre-Forward,£2.36m,2.36,2005,Burnley FC,Sheffield Utd.,out
Ade Akinbiyi,32.0,Centre-Forward,£990Th.,0.99,2006,Burnley FC,Sheffield Utd.,in
Ade Akinbiyi,32.0,Centre-Forward,£990Th.,0.99,2006,Sheffield United,Burnley,out
Adel Taarabt,17.0,Central Midfield,"End of loanMay 14, 2007",0.0,2006,Tottenham Hotspur,Lens,out
Adel Taarabt,17.0,Central Midfield,"End of loanMay 14, 2007",0.0,2006,RC Lens,Spurs,in
Adel Taarabt,17.0,Central Midfield,Loan,0.0,2006,Tottenham Hotspur,Lens,in
Adel Taarabt,17.0,Central Midfield,Loan,0.0,2006,RC Lens,Spurs,out
Adel Taarabt,18.0,Central Midfield,£3.60m,3.6,2007,Tottenham Hotspur,Lens,in
Adel Taarabt,18.0,Central Midfield,£3.60m,3.6,2007,RC Lens,Spurs,out
Adel Taarabt,19.0,Central Midfield,Loan,0.0,2008,Queens Park Rangers,Spurs,in
Adel Taarabt,19.0,Central Midfield,Loan,0.0,2008,Tottenham Hotspur,QPR,out
Adel Taarabt,20.0,Central Midfield,"End of loanMay 31, 2009",0.0,2008,Queens Park Rangers,Spurs,out
Adel Taarabt,20.0,Central Midfield,"End of loanMay 31, 2009",0.0,2008,Tottenham Hotspur,QPR,in
Adel Taarabt,20.0,Central Midfield,Loan,0.0,2009,Queens Park Rangers,Spurs,in
Adel Taarabt,20.0,Central Midfield,Loan,0.0,2009,Tottenham Hotspur,QPR,out
Adel Taarabt,21.0,Central Midfield,"End of loanMay 31, 2010",0.0,2009,Queens Park Rangers,Spurs,out
Adel Taarabt,21.0,Central Midfield,"End of loanMay 31, 2010",0.0,2009,Tottenham Hotspur,QPR,in
Adel Taarabt,21.0,Central Midfield,£1.08m,1.08,2010,Queens Park Rangers,Spurs,in
Adel Taarabt,21.0,Central Midfield,£1.08m,1.08,2010,Tottenham Hotspur,QPR,out
Adel Taarabt,24.0,Central Midfield,"End of loanJan 30, 2014",0.0,2013,Queens Park Rangers,Fulham,in
Adel Taarabt,24.0,Central Midfield,"End of loanJan 30, 2014",0.0,2013,Fulham FC,QPR,out
Adel Taarabt,24.0,Central Midfield,Loan,0.0,2013,Queens Park Rangers,Fulham,out
Adel Taarabt,24.0,Central Midfield,Loan,0.0,2013,Queens Park Rangers,AC Milan,out
Adel Taarabt,24.0,Central Midfield,Loan,0.0,2013,Fulham FC,QPR,in
Adel Taarabt,24.0,Central Midfield,Loan,0.0,2013,AC Milan,QPR,in
Adel Taarabt,25.0,Central Midfield,"End of loanJun 30, 2014",0.0,2014,Queens Park Rangers,AC Milan,in
Adel Taarabt,25.0,Central Midfield,"End of loanJun 30, 2014",0.0,2014,AC Milan,QPR,out
Adel Taarabt,26.0,Central Midfield,Free transfer,0.0,2015,Queens Park Rangers,Benfica,out
Adel Taarabt,26.0,Central Midfield,Free transfer,0.0,2015,SL Benfica,QPR,in
Adel Taarabt,27.0,Central Midfield,Loan,0.0,2016,Genoa CFC,Benfica,in
Adel Taarabt,27.0,Central Midfield,Loan,0.0,2016,SL Benfica,Genoa,out
Adel Taarabt,29.0,Central Midfield,-,0.0,2018,SL Benfica,Benfica B,out
Adel Taarabt,29.0,Central Midfield,-,0.0,2018,SL Benfica,Benfica B,in
Adel Taarabt,29.0,Central Midfield,"End of loanJun 30, 2018",0.0,2018,Genoa CFC,Benfica,out
Adel Taarabt,29.0,Central Midfield,"End of loanJun 30, 2018",0.0,2018,SL Benfica,Genoa,in
Adem Ljajic,21.0,Attacking Midfield,£10.80m,10.8,2013,ACF Fiorentina,AS Roma,out
Adem Ljajic,21.0,Attacking Midfield,£10.80m,10.8,2013,AS Roma,Fiorentina,in
Adem Ljajic,23.0,Attacking Midfield,Loan fee:£1.58m,1.58,2015,AS Roma,Inter,out
Adem Ljajic,23.0,Attacking Midfield,Loan fee:£1.58m,1.58,2015,Inter Milan,AS Roma,in
Adem Ljajic,24.0,Attacking Midfield,£8.10m,8.1,2016,AS Roma,Torino,out
Adem Ljajic,24.0,Attacking Midfield,£8.10m,8.1,2016,Torino FC,AS Roma,in
Aden Flint,28.0,Centre-Back,£7.20m,7.2,2018,Middlesbrough FC,Bristol City,in
Aden Flint,28.0,Centre-Back,£7.20m,7.2,2018,Bristol City,Middlesbrough,out
Aden Flint,30.0,Centre-Back,£4.01m,4.01,2019,Cardiff City,Middlesbrough,in
Aden Flint,30.0,Centre-Back,£4.01m,4.01,2019,Middlesbrough FC,Cardiff,out
Adil Rami,25.0,Centre-Back,£5.40m,5.4,2011,LOSC Lille,Valencia,out
Adil Rami,25.0,Centre-Back,£5.40m,5.4,2011,Valencia CF,LOSC Lille,in
Adil Rami,28.0,Centre-Back,"End of loanJun 30, 2014",0.0,2014,AC Milan,Valencia,out
Adil Rami,28.0,Centre-Back,"End of loanJun 30, 2014",0.0,2014,Valencia CF,AC Milan,in
Adil Rami,28.0,Centre-Back,Loan fee:£360Th.,0.36,2013,AC Milan,Valencia,in
Adil Rami,28.0,Centre-Back,Loan fee:£360Th.,0.36,2013,Valencia CF,AC Milan,out
Adil Rami,28.0,Centre-Back,£3.83m,3.83,2014,AC Milan,Valencia,in
Adil Rami,28.0,Centre-Back,£3.83m,3.83,2014,Valencia CF,AC Milan,out
Adil Rami,29.0,Centre-Back,£2.25m,2.25,2015,AC Milan,Sevilla FC,out
Adil Rami,29.0,Centre-Back,£2.25m,2.25,2015,Sevilla FC,AC Milan,in
Adil Rami,31.0,Centre-Back,£5.40m,5.4,2017,Olympique Marseille,Sevilla FC,in
Adil Rami,31.0,Centre-Back,£5.40m,5.4,2017,Sevilla FC,Marseille,out
Adil Rami,34.0,Centre-Back,Free transfer,0.0,2020,Boavista FC,Sochi,in
Adil Rami,34.0,Centre-Back,Free transfer,0.0,2020,FC Sochi,Boavista,out
Adlène Guédioura,26.0,Central Midfield,"End of loanMay 31, 2012",0.0,2011,Nottingham Forest,Wolves,out
Adlène Guédioura,26.0,Central Midfield,"End of loanMay 31, 2012",0.0,2011,Wolverhampton Wanderers,Nottm Forest,in
Adlène Guédioura,26.0,Central Midfield,Loan,0.0,2011,Nottingham Forest,Wolves,in
Adlène Guédioura,26.0,Central Midfield,Loan,0.0,2011,Wolverhampton Wanderers,Nottm Forest,out
Adlène Guédioura,26.0,Central Midfield,£1.17m,1.17,2012,Wolverhampton Wanderers,Nottm Forest,out
Adlène Guédioura,26.0,Central Midfield,£1.17m,1.17,2012,Nottingham Forest,Wolves,in
Adlène Guédioura,27.0,Central Midfield,£3.15m,3.15,2013,Nottingham Forest,Crystal Palace,out
Adlène Guédioura,27.0,Central Midfield,£3.15m,3.15,2013,Crystal Palace,Nottm Forest,in
Adlène Guédioura,29.0,Central Midfield,"End of loanJan 1, 2015",0.0,2014,Watford FC,Crystal Palace,out
Adlène Guédioura,29.0,Central Midfield,"End of loanJan 1, 2015",0.0,2014,Crystal Palace,Watford,in
Adlène Guédioura,29.0,Central Midfield,"End of loanMay 1, 2015",0.0,2014,Watford FC,Crystal Palace,out
Adlène Guédioura,29.0,Central Midfield,"End of loanMay 1, 2015",0.0,2014,Crystal Palace,Watford,in
Adlène Guédioura,29.0,Central Midfield,Loan,0.0,2014,Watford FC,Crystal Palace,in
Adlène Guédioura,29.0,Central Midfield,Loan,0.0,2014,Crystal Palace,Watford,out
Adlène Guédioura,31.0,Central Midfield,£4.68m,4.68,2016,Watford FC,Middlesbrough,out
Adlène Guédioura,31.0,Central Midfield,£4.68m,4.68,2016,Middlesbrough FC,Watford,in
Adlène Guédioura,32.0,Central Midfield,Free transfer,0.0,2017,Middlesbrough FC,Nottm Forest,out
Adlène Guédioura,32.0,Central Midfield,Free transfer,0.0,2017,Nottingham Forest,Middlesbrough,in
Admir Mehmedi,26.0,Second Striker,£7.20m,7.2,2017,Bayer 04 Leverkusen,VfL Wolfsburg,out
Admir Mehmedi,26.0,Second Striker,£7.20m,7.2,2017,VfL Wolfsburg,Bay. Leverkusen,in
Adrian Mariappa,25.0,Centre-Back,£3.42m,3.42,2012,Watford FC,Reading,out
Adrian Mariappa,25.0,Centre-Back,£3.42m,3.42,2012,Reading FC,Watford,in
Adrian Mariappa,26.0,Centre-Back,£3.15m,3.15,2013,Reading FC,Crystal Palace,out
Adrian Mariappa,26.0,Centre-Back,£3.15m,3.15,2013,Crystal Palace,Reading,in
Adrian Mariappa,29.0,Centre-Back,Free transfer,0.0,2016,Watford FC,Crystal Palace,in
Adrian Mariappa,29.0,Centre-Back,Free transfer,0.0,2016,Crystal Palace,Watford,out
Adrian Mutu,21.0,Centre-Forward,£3.60m,3.6,2000,Hellas Verona,Inter,in
Adrian Mutu,21.0,Centre-Forward,£3.60m,3.6,2000,FC Internazionale,Hellas Verona,out
Adrian Mutu,24.0,Centre-Forward,£17.10m,17.1,2003,Chelsea FC,AC Parma,in
Adrian Mutu,24.0,Centre-Forward,£17.10m,17.1,2003,AC Parma,Chelsea,out
Adrian Mutu,25.0,Centre-Forward,-,0.0,2004,Chelsea FC,Without Club,out
Adrian Mutu,25.0,Centre-Forward,-,0.0,2004,AS Livorno,Without Club,in
Adrian Mutu,26.0,Centre-Forward,Free transfer,0.0,2004,Juventus FC,AS Livorno,in
Adrian Mutu,26.0,Centre-Forward,Free transfer,0.0,2004,AS Livorno,Juventus,out
Adrian Mutu,32.0,Centre-Forward,Free transfer,0.0,2011,AC Cesena,Fiorentina,in
Adrian Mutu,32.0,Centre-Forward,Free transfer,0.0,2011,ACF Fiorentina,Cesena,out
Adrian Stoian,21.0,Left Winger,£450Th.,0.45,2012,AS Roma,Chievo Verona,out
Adrian Stoian,21.0,Left Winger,£450Th.,0.45,2012,Chievo Verona,AS Roma,in
Adrian Stoian,22.0,Left Winger,Loan,0.0,2013,Chievo Verona,Genoa,out
Adrian Stoian,22.0,Left Winger,Loan,0.0,2013,Genoa CFC,Chievo Verona,in
Adriano,19.0,Centre-Forward,Loan,0.0,2001,AC Fiorentina,Inter,in
Adriano,19.0,Centre-Forward,Loan,0.0,2001,FC Internazionale,Fiorentina,out
Adriano,20.0,Centre-Forward,£13.05m,13.05,2002,FC Internazionale,AC Parma,out
Adriano,20.0,Centre-Forward,£13.05m,13.05,2002,AC Parma,Inter,in
Adriano,21.0,Centre-Forward,£21.06m,21.06,2003,FC Internazionale,AC Parma,in
Adriano,21.0,Centre-Forward,£21.06m,21.06,2003,AC Parma,Inter,out
Adriano,22.0,Right-Back,Loan,0.0,2004,Atalanta BC,US Palermo,in
Adriano,22.0,Right-Back,Loan,0.0,2004,US Palermo,Atalanta,out
Adriano,25.0,Left-Back,£8.55m,8.55,2010,FC Barcelona,Sevilla FC,in
Adriano,25.0,Left-Back,£8.55m,8.55,2010,Sevilla FC,FC Barcelona,out
Adriano,25.0,Right-Back,£2.25m,2.25,2007,AS Monaco,Atalanta,in
Adriano,25.0,Right-Back,£2.25m,2.25,2007,Atalanta BC,Monaco,out
Adriano,30.0,Centre-Forward,Free transfer,0.0,2009,FC Porto,Braga,out
Adriano,30.0,Centre-Forward,Free transfer,0.0,2009,SC Braga,FC Porto,in
Adrián Ramos,28.0,Centre-Forward,£8.73m,8.73,2014,Borussia Dortmund,Hertha BSC,in
Adrián Ramos,28.0,Centre-Forward,£8.73m,8.73,2014,Hertha BSC,Bor. Dortmund,out
Adrián Ramos,31.0,Centre-Forward,Loan,0.0,2016,Borussia Dortmund,Granada CF,out
Adrián Ramos,31.0,Centre-Forward,Loan,0.0,2016,Granada CF,Bor. Dortmund,in
